ProvinceNo,ProvinceMOI_ID,ProvinceNameThai,Region_VaccineRollout_MOPH,Region_RDPB,Region_RedCrossChapter,Region_SenatorFieldWork,Region_JFO,Region_TCGOffice,RegionID,RegionName,ProvincialClusterID,ProvincialClusterName,RegionCGDWelfareIntegrationSystem,RegionTMD,RegionECT,RegionNSO,RegionOPSIndustry,RegionArmy,RegionPolice,RegionONCB,RegionalHealth,RegionEnvironment,RegionRoyalRain,RegionDGR,WaterAuthorities_ServiceArea,RegionWaterAuthorities,RegionElectricityAuthorities,RegionLDD,RegionSecondaryEducationalServiceArea_from2010to2020,RegionFineArts,RegionTAT,ProvincialOffice_TAT,RegionAppealCourt,RegionAdministrativeCourt,RegionTheCriminalCourtforCorruption,RegionPACC,RegionExciseDepartment,RegionCGDOffice,RegionRD,RegionVillageFund,StateAuditRegionalOffice,RegionPRD,RegionIndustrialRehabilitationCenter,RegionEducationOffice,RegionHealthPromotionCenter,RegionMentalHealth,RegionNHSO,RegionDisaster,RegionHumanSecurity,RegionOAE,RegionForestIndustry,RegionMilitaryCircle,RegionDSI,RegionDLD,Region_CustomHouse,Region_CustomsBureau,Region_CAD,Region_DOA,Region_MOI,Region_MOI_Inspection,Region_DMR,Region_DIP,Region_NESDC_NationalAccounts,Region_NESDC_RegionalOffice,Region_BudgetBureauDivision,RegionSecondaryEducationalServiceArea_from2021,Region_SSOProvincialOffice,Region_InspectionArea_CPD,Region_DOAE,Region_MonkMahaNikai,Region_MonkMahaNikai_Hon,Region_MonkDhammyuttika,Region_OPM_InspectionArea,Region_BACCDepartment,Region_SAT,Region_OPSCulture_RoyalFuneral_Subdivision,Region_OPSTourismandSports,Region_TourismDevelopmentArea,RiverBasin,Region_MOE_InspectionArea,Region_CTCC,Region_DMSC,Region_DDC,Region_ThailandTrustMark_DITP,Region_BOI,Region_OCSB,Region_Archives,Region_Intelligence,Region_StateAuditOffice,Region_CivicEducationandParticipationCenter,RegionalHoliday,Region_Forest,Region_IrrigationOffice,Region_HydrologyCenter,Region_WaterResourceOffice,Region_DMCR,DistrictOffice_NBTC,RegionalOffice_NBTC,Region_CODIOffice,Region_MD_BranchOffice,Region_MD_MarineOffice,Region_ThailandPost,Region_OccupationalSafety,Region_PrimaryIndustry_Mineral
01,10,กรุงเทพมหานคร,กรุงเทพมหานครและปริมณฑล,ภาคกลาง,N/A,N/A,ส่วนกลาง,สำนักงานเขตนครหลวง,7,ส่วนกลาง,71,ส่วนกลาง,ภาคกลาง,ภาคกลาง,ภาคกลาง,ส่วนกลาง,ส่วนกลาง,กองทัพภาคที่ 1,กองบัญชาการตำรวจนครบาล,สำนักงานป้องกันและปราบปรามยาเสพติดกรุงเทพมหานคร,เขตสุขภาพเพื่อประชาชน เขตพื้นที่ 13,ส่วนกลาง,ศูนย์ปฏิบัติการฝนหลวงภาคกลาง,ส่วนกลาง,การประปานครหลวง,N/A,การไฟฟ้านครหลวง,สำนักงานพัฒนาที่ดินเขต 1,"เขตพื้นที่การศึกษามัธยมศึกษา เขต 1, เขตพื้นที่การศึกษามัธยมศึกษา เขต 2",ส่วนกลาง,ภาคกลาง,การท่องเที่ยวแห่งประเทศไทย (ททท.) สำนักงานกรุงเทพมหานคร,ศาลอุทธรณ์,ศาลปกครองกลาง,ศาลอาญาคดีทุจริตและประพฤติมิชอบกลาง,ส่วนกลาง,สำนักงานสรรพสามิตภาคที่ 10,ส่วนกลาง,"สำนักงานสรรพากรภาค 1, สำนักงานสรรพากรภาค 2, สำนักงานสรรพากรภาค 3",ส่วนกลาง,ส่วนกลาง,ส่วนกลาง,ศูนย์ฟื้นฟูสมรรถภาพคนงานภาค 1,สำนักงานศึกษาธิการภาค 2,สถาบันพัฒนาสุขภาวะเขตเมือง,ศูนย์สุขภาพจิตที่ 13,สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 13 กรุงเทพมหานคร,ส่วนกลาง,สำนักงานส่งเสริมและสนับสนุนวิชาการ 1,สำนักงานเศรษฐกิจการเกษตรที่ 7,องค์การอุตสาหกรรมป่าไม้ภาคกลาง,มณฑลทหารบกที่ 11,ส่วนกลาง,ส่วนกลาง,N/A,"สำนักงานศุลกากรกรุงเทพ, สำนักงานศุลกากรท่าอากาศยานดอนเมือง, สำนักงานศุลกากรตรวจสินค้าลาดกระบัง, สำนักงานศุลกากรท่าเรือกรุงเทพ",ส่วนกลาง,สำนักวิจัยและพัฒนาการเกษตรเขตที่ 5,ส่วนกลาง,เขตตรวจราชการส่วนกลาง,ส่วนกลาง,ส่วนกลาง,กรุงเทพมหานครและปริมณฑล,ส่วนกลาง,ส่วนกลาง,"เขตพื้นที่การศึกษามัธยมศึกษากรุงเทพมหานคร เขต 1, เขตพื้นที่การศึกษามัธยมศึกษากรุงเทพมหานคร เขต 2",สำนักงานประกันสังคมกรุงเทพมหานครพื้นที่ 1 -12,เขตตรวจราชการส่วนกลาง,สำนักงานส่งเสริมและพัฒนาการเกษตรที่ 1 จังหวัดชัยนาท,ภาค 1,เจ้าคณะใหญ่หนกลาง,ภาค 1 - 2 - 3 (ธรรมยุต),เขตตรวจราชการส่วนกลาง,สำนักกิจการนครหลวง,ส่วนกลาง,กลุ่มอำนวยการพิธีการศพที่ได้รับพระราชทานกรุงเทพมหานคร,ส่วนกลาง,N/A,"ลุ่มน้ำเจ้าพระยา, ลุ่มน้ำท่าจีน, ลุ่มน้ำบางปะกง",เขตตรวจราชการส่วนกลาง,ศูนย์ถ่ายทอดเทคโนโลยีการสหกรณ์ที่ 1 จังหวัดปทุมธานี,ส่วนกลาง ,N/A,ภาคกลาง,ส่วนกลาง,N/A,สำนักหอจดหมายเหตุแห่งชาติ,ศูนย์ประสานข่าวกรองแห่งชาติภาค 1 (ศป.ข.ภาค 1),ส่วนกลาง,ศูนย์ส่งเสริมการศึกษาและการมีส่วนร่วมของพลเมืองที่ 1,ภาคกลาง,N/A,ส่วนกลาง,ศูนย์อุทกวิทยาชลประทานภาคกลาง,ส่วนกลาง,สำนักงานทรัพยากรทางทะเลและชายฝั่งที่ 8,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ เขต 11,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ ภาค 1,สำนักงานภาคกรุงเทพฯ ปริมณฑลและตะวันออก,ส่วนกลาง,ส่วนกลาง,"สำนักงานไปรษณีย์นครหลวง 1, สำนักงานไปรษณีย์นครหลวง 2, สำนักงานไปรษณีย์นครหลวง 3, สำนักงานไปรษณีย์นครหลวง 4","ศูนย์ความปลอดภัยในการทำงานเขต 11 (ตลิ่งชัน), ศูนย์ความปลอดภัยในการทำงานเขต 12 (มีนบุรี)",สำนักงานอุตสาหกรรมพื้นฐานและการเหมืองแร่ เขต 7 ราชบุรี
02,81,จังหวัดกระบี่,ภาคใต้,ภาคใต้,เหล่ากาชาดจังหวัดภาค 11,ภาคใต้,ภาคใต้,สำนักงานเขตภาคใต้ตอนบน,2,ภาคใต้,22,กลุ่มจังหวัดภาคใต้ฝั่งอันดามัน,ภาคใต้,ภาคใต้ฝั่งตะวันตก,ภาคใต้,ภาคใต้,ภาคใต้,กองทัพภาคที่ 4,ตำรวจภูธรภาค 8,สำนักงานป้องกันและปราบปรามยาเสพติดภาค 8,เขตสุขภาพเพื่อประชาชน เขตพื้นที่ 11,สำนักงานสิ่งแวดล้อมภาคที่ 15,ศูนย์ปฏิบัติการฝนหลวงภาคใต้,สำนักทรัพยากรน้ำบาดาล เขต 6 (ตรัง),การประปาส่วนภูมิภาคเขต 4,ภาค 5,การไฟฟ้าส่วนภูมิภาค เขต 2 (ภาคใต้) จังหวัดนครศรีธรรมราช,สำนักงานพัฒนาที่ดินเขต 11,เขตพื้นที่การศึกษามัธยมศึกษา เขต 13,สำนักศิลปากรที่ 12 นครศรีธรรมราช,ภาคใต้,การท่องเที่ยวแห่งประเทศไทย (ททท.) สำนักงานกระบี่,ศาลอุทธรณ์ภาค 8,ศาลปกครองภูเก็ต,ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 8,สำนักงานป้องกันและปราบปรามการทุจริตในภาครัฐ เขต 8,สำนักงานสรรพสามิตภาคที่ 8,สำนักงานคลังเขต 8,สำนักงานสรรพากรภาค 11,สำนักงานกองทุนหมู่บ้านและชุมชนเมืองสาขา 9,สำนักงานการตรวจเงินแผ่นดินภูมิภาคที่ 14,สำนักประชาสัมพันธ์เขต 5,ศูนย์ฟื้นฟูสมรรถภาพคนงานภาค 5,สำนักงานศึกษาธิการภาค 6,ศูนย์อนามัยที่ 11 นครศรีธรรมราช,ศูนย์สุขภาพจิตที่ 11,สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 11 สุราษฎร์ธานี,ศูนย์ป้องกันและบรรเทาสาธารณภัย เขต 18 ภูเก็ต,สำนักงานส่งเสริมและสนับสนุนวิชาการ 10,สำนักงานเศรษฐกิจการเกษตรที่ 8,องค์การอุตสาหกรรมป่าไม้ภาคใต้,มณฑลทหารบกที่ 43,ศูนย์ปฏิบัติการคดีพิเศษเขตพื้นที่ 8,สำนักงานปศุสัตว์เขต 8,ด่านศุลกากรกระบี่,สำนักงานศุลกากรภาคที่ 4,สำนักงานตรวจบัญชีสหกรณ์ที่ 8,สำนักวิจัยและพัฒนาการเกษตรเขตที่ 7,ภาคใต้,เขตตรวจราชการที่ 6,สำนักงานทรัพยากรธรณี เขต 4,ศูนย์ส่งเสริมอุตสาหกรรมภาคที่ 10 จังหวัดสุราษฎร์ธานี,ภาคใต้,สำนักงานพัฒนาเศรษฐกิจและสังคมภาคใต้,กองจัดทำงบประมาณเขตพื้นที่ 5,เขตพื้นที่การศึกษามัธยมศึกษาตรัง กระบี่,ภาคใต้,เขตตรวจราชการที่ 6,สำนักงานส่งเสริมและพัฒนาการเกษตรที่ 5 จังหวัดสงขลา,ภาค 17,เจ้าคณะใหญ่หนใต้,ภาค 17 - 18 (ธรรมยุต),เขตตรวจราชการที่ 6,ฝ่ายกิจการสาขาภาคใต้ตอนบน,สำนักงานการกีฬาแห่งประเทศไทยภาค 4,กลุ่มอำนวยการพิธีการศพที่ได้รับพระราชทานที่ 14 พังงา,ภาคใต้,เขตพัฒนาการท่องเที่ยวอันดามัน,"ลุ่มน้ำภาคใต้ฝั่งตะวันออกตอนบน, ลุ่มน้ำภาคใต้ฝั่งตะวันตก",เขตตรวจราชการที่ 6,ศูนย์ถ่ายทอดเทคโนโลยีการสหกรณ์ที่ 20 จังหวัดสุราษฎร์ธานี,ศูนย์วิทยาศาสตร์การแพทย์ที่ 11/1 ภูเก็ต,สำนักงานป้องกันควบคุมโรคที่ 11 จังหวัดนครศรีธรรมราช,ภาคใต้,ศูนย์เศรษฐกิจการลงทุนภาคที่ 6,N/A,หอจดหมายเหตุแห่งชาติเฉลิมพระเกียรติสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ ตรัง,ศูนย์ประสานข่าวกรองแห่งชาติภาค 4 (ศป.ข.ภาค 4),ภาคใต้,ศูนย์ส่งเสริมการศึกษาและการมีส่วนร่วมของพลเมืองที่ 3,ภาคใต้,สำนักจัดการทรัพยากรป่าไม้ที่ 12 สาขากระบี่,สำนักงานชลประทานที่ 15,ศูนย์อุทกวิทยาชลประทานภาคใต้,สำนักงานทรัพยากรน้ำภาค 10,สำนักงานทรัพยากรทางทะเลและชายฝั่งที่ 10,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ เขต 42,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ ภาค 4,สำนักงานภาคใต้,สำนักงานเจ้าท่าภูมิภาคสาขากระบี่,สำนักงานเจ้าท่าภูมิภาคที่ 5,สำนักงานไปรษณีย์เขต 8,ศูนย์ความปลอดภัยในการทำงานเขต 8 (สุราษฎร์ธานี),สำนักงานอุตสาหกรรมพื้นฐานและการเหมืองแร่ เขต 4 ภูเก็ต
03,71,จังหวัดกาญจนบุรี,ภาคตะวันตก,ภาคกลาง,เหล่ากาชาดจังหวัดภาค 4,ภาคกลาง,ภาคกลาง,สำนักงานเขตภาคตะวันตก,1,ภาคกลาง,13,กลุ่มจังหวัดภาคกลางตอนล่าง 1,ภาคตะวันตก,ภาคกลาง,ภาคกลาง,ภาคกลาง,ภาคกลาง,กองทัพภาคที่ 1,ตำรวจภูธรภาค 7,สำนักงานป้องกันและปราบปรามยาเสพติดภาค 7,เขตสุขภาพเพื่อประชาชน เขตพื้นที่ 5,สำนักงานสิ่งแวดล้อมภาคที่ 8,ศูนย์ปฏิบัติการฝนหลวงภาคกลาง,สำนักทรัพยากรน้ำบาดาล เขต 2 (สุพรรณบุรี),การประปาส่วนภูมิภาคเขต 3,ภาค 4,การไฟฟ้าส่วนภูมิภาค เขต 3 (ภาคกลาง) จังหวัดนครปฐม,สำนักงานพัฒนาที่ดินเขต 10,เขตพื้นที่การศึกษามัธยมศึกษา เขต 8,สำนักศิลปากรที่ 2 สุพรรณบุรี,ภาคกลาง,การท่องเที่ยวแห่งประเทศไทย (ททท.) สำนักงานกาญจนบุรี,ศาลอุทธรณ์ภาค 7,ศาลปกครองสุพรรณบุรี,ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 7,สำนักงานป้องกันและปราบปรามการทุจริตในภาครัฐ เขต 7,สำนักงานสรรพสามิตภาคที่ 7,สำนักงานคลังเขต 7,สำนักงานสรรพากรภาค 6,สำนักงานกองทุนหมู่บ้านและชุมชนเมืองสาขา 12,สำนักงานการตรวจเงินแผ่นดินภูมิภาคที่ 12,สำนักประชาสัมพันธ์เขต 8,ศูนย์ฟื้นฟูสมรรถภาพคนงานภาค 1,สำนักงานศึกษาธิการภาค 3,ศูนย์อนามัยที่ 5 ราชบุรี,ศูนย์สุขภาพจิตที่ 5,สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 5 ราชบุรี,ศูนย์ป้องกันและบรรเทาสาธารณภัย เขต 2 สุพรรณบุรี,สำนักงานส่งเสริมและสนับสนุนวิชาการ 3,สำนักงานเศรษฐกิจการเกษตรที่ 10,องค์การอุตสาหกรรมป่าไม้ภาคกลาง,มณฑลทหารบกที่ 17,ศูนย์ปฏิบัติการคดีพิเศษเขตพื้นที่ 7,สำนักงานปศุสัตว์เขต 7,ด่านศุลกากรสังขละบุรี,สำนักงานศุลกากรภาคที่ 1,สำนักงานตรวจบัญชีสหกรณ์ที่ 10,สำนักวิจัยและพัฒนาการเกษตรเขตที่ 5,ภาคกลาง,เขตตรวจราชการที่ 3,สำนักงานทรัพยากรธรณี เขต 3,ศูนย์ส่งเสริมอุตสาหกรรมภาคที่ 8 จังหวัดสุพรรณบุรี,ภาคตะวันตก,สำนักงานพัฒนาเศรษฐกิจและสังคมภาคกลาง,กองจัดทำงบประมาณเขตพื้นที่ 13,เขตพื้นที่การศึกษามัธยมศึกษากาญจนบุรี,ภาคตะวันตก,เขตตรวจราชการที่ 3,สำนักงานส่งเสริมและพัฒนาการเกษตรที่ 2 จังหวัดราชบุรี,ภาค 14,เจ้าคณะใหญ่หนกลาง,N/A,เขตตรวจราชการที่ 3,ฝ่ายกิจการสาขาภาคตะวันตก,สำนักงานการกีฬาแห่งประเทศไทยภาค 2,กลุ่มอำนวยการพิธีการศพที่ได้รับพระราชทานที่ 3 เพชรบุรี,ภาคกลาง,N/A,"ลุ่มน้ำท่าจีน, ลุ่มน้ำแม่กลอง",เขตตรวจราชการที่ 3,ศูนย์ถ่ายทอดเทคโนโลยีการสหกรณ์ที่ 15 จังหวัดเพชรบุรี,ศูนย์วิทยาศาสตร์การแพทย์ที่ 5 สมุทรสงคราม,สำนักงานป้องกันควบคุมโรคที่ 5 จังหวัดราชบุรี,ภาคตะวันตก,N/A,ศูนย์ส่งเสริมอุตสาหกรรมอ้อยและน้ำตาลทราย ภาคที่ 1,หอจดหมายเหตุแห่งชาติ จังหวัดสุพรรณบุรี,ศูนย์ประสานข่าวกรองแห่งชาติภาค 4 (ศป.ข.ภาค 4),ภาคตะวันตก,ศูนย์ส่งเสริมการศึกษาและการมีส่วนร่วมของพลเมืองที่ 1,ภาคกลาง,สำนักจัดการทรัพยากรป่าไม้ที่ 10 (ราชบุรี),สำนักงานชลประทานที่ 13,ศูนย์อุทกวิทยาชลประทานภาคตะวันตก,สำนักงานทรัพยากรน้ำภาค 7,N/A,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ เขต 13,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ ภาค 1,สำนักงานภาคกลางและภาคตะวันตก,สำนักงานเจ้าท่าภูมิภาคสาขากาญจนบุรี,สำนักงานเจ้าท่าภูมิภาคที่ 3,สำนักงานไปรษณีย์เขต 7,ศูนย์ความปลอดภัยในการทำงานเขต 7 (ราชบุรี),สำนักงานอุตสาหกรรมพื้นฐานและการเหมืองแร่ เขต 7 ราชบุรี
04,46,จังหวัดกาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เหล่ากาชาดจังหวัดภาค 7,ภาคตะวันออกเฉียงเหนือ (ตอนบน),ภาคตะวันออกเฉียงเหนือ,สำนักงานเขตภาคตะวันออกเฉียงเหนือตอนบน,5,ภาคตะวันออกเฉียงเหนือ,53,กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนกลาง,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,กองทัพภาคที่ 2,ตำรวจภูธรภาค 4,สำนักงานป้องกันและปราบปรามยาเสพติดภาค 4,เขตสุขภาพเพื่อประชาชน เขตพื้นที่ 7,สำนักงานสิ่งแวดล้อมภาคที่ 10,ศูนย์ปฏิบัติการฝนหลวงภาคตะวันออกเฉียงเหนือตอนบน,สำนักทรัพยากรน้ำบาดาล เขต 4 (ขอนแก่น),การประปาส่วนภูมิภาคเขต 6,ภาค 2,การไฟฟ้าส่วนภูมิภาค เขต 2 (ภาคตะวันออกเฉียงเหนือ) จังหวัดอุบลราชธานี,สำนักงานพัฒนาที่ดินเขต 5,เขตพื้นที่การศึกษามัธยมศึกษา เขต 24,สำนักศิลปากรที่ 9 อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,การท่องเที่ยวแห่งประเทศไทย (ททท.) สำนักงานขอนแก่น,ศาลอุทธรณ์ภาค 4,ศาลปกครองขอนแก่น,ศาลอาญาคดีทุจริตและประพฤติมิชอบภาค 4,สำนักงานป้องกันและปราบปรามการทุจริตในภาครัฐ เขต 4,สำนักงานสรรพสามิตภาคที่ 4,สำนักงานคลังเขต 4,สำนักงานสรรพากรภาค 10,สำนักงานกองทุนหมู่บ้านและชุมชนเมืองสาขา 4,สำนักงานการตรวจเงินแผ่นดินภูมิภาคที่ 7,สำนักประชาสัมพันธ์เขต 1,ศูนย์ฟื้นฟูสมรรถภาพคนงานภาค 4,สำนักงานศึกษาธิการภาค 12,ศูนย์อนามัยที่ 7 ขอนแก่น,ศูนย์สุขภาพจิตที่ 7,สำนักงานหลักประกันสุขภาพแห่งชาติ เขต 7 ขอนแก่น,ศูนย์ป้องกันและบรรเทาสาธารณภัย เขต 6 ขอนแก่น,สำนักงานส่งเสริมและสนับสนุนวิชาการ 6,สำนักงานเศรษฐกิจการเกษตรที่ 4,องค์การอุตสาหกรรมป่าไม้ภาคตะวันออกเฉียงเหนือ,มณฑลทหารบกที่ 23,ศูนย์ปฏิบัติการคดีพิเศษเขตพื้นที่ 4,สำนักงานปศุสัตว์เขต 4,ด่านศุลกากรมุกดาหาร,สำนักงานศุลกากรภาคที่ 2,สำนักงานตรวจบัญชีสหกรณ์ที่ 4,สำนักวิจัยและพัฒนาการเกษตรเขตที่ 3,ภาคตะวันออกเฉียงเหนือ,เขตตรวจราชการที่ 12,สำนักงานทรัพยากรธรณี เขต 2,ศูนย์ส่งเสริมอุตสาหกรรมภาคที่ 5 จังหวัดขอนแก่น,ภาคตะวันออกเฉียงเหนือ,สำนักงานพัฒนาเศรษฐกิจและสังคมภาคตะวันออกเฉียงเหนือ,กองจัดทำงบประมาณเขตพื้นที่ 8,เขตพื้นที่การศึกษามัธยมศึกษากาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,เขตตรวจราชการที่ 12,สำนักงานส่งเสริมและพัฒนาการเกษตรที่ 4 จังหวัดขอนแก่น,ภาค 9,เจ้าคณะใหญ่หนตะวันออก,N/A,เขตตรวจราชการที่ 12,ฝ่ายกิจการสาขาภาคตะวันออกเฉียงเหนือตอนบน,สำนักงานการกีฬาแห่งประเทศไทยภาค 3,กลุ่มอำนวยการพิธีการศพที่ได้รับพระราชทานที่ 10 ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,เขตพัฒนาการท่องเที่ยวธรณีวิทยาถิ่นอีสาน,"ลุ่มน้ำโขงตะวันออกเฉียงเหนือ, ลุ่มน้ำชี",เขตตรวจราชการที่ 12,ศูนย์ถ่ายทอดเทคโนโลยีการสหกรณ์ที่ 8 จังหวัดขอนแก่น,ศูนย์วิทยาศาสตร์การแพทย์ที่ 7 ขอนแก่น,สำนักงานป้องกันควบคุมโรคที่ 7 จังหวัดขอนแก่น,ภาคตะวันออกเฉียงเหนือ,ศูนย์เศรษฐกิจการลงทุนภาคที่ 3,ศูนย์ส่งเสริมอุตสาหกรรมอ้อยและน้ำตาลทราย ภาคที่ 4,หอจดหมายเหตุแห่งชาติเฉลิมพระเกียรติสมเด็จพระบรมโอรสาธิราชฯ สยามมกุฎราชกุมาร อุบลราชธานี,ศูนย์ประสานข่าวกรองแห่งชาติภาค 3 (ศป.ข.ภาค 3),ภาคตะวันออกเฉียงเหนือ,ศูนย์ส่งเสริมการศึกษาและการมีส่วนร่วมของพลเมืองที่ 8,ภาคตะวันออกเฉียงเหนือ,สำนักจัดการทรัพยากรป่าไม้ที่ 7 (ขอนแก่น),สำนักงานชลประทานที่ 6,ศูนย์อุทกวิทยาชลประทานภาคตะวันออกเฉียงเหนือตอนบน,สำนักงานทรัพยากรน้ำภาค 4,N/A,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ เขต 21,สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ ภาค 2,สำนักงานภาคตะวันออกเฉียงเหนือ,สำนักงานเจ้าท่าภูมิภาคสาขาขอนแก่น,สำนักงานเจ้าท่าภูมิภาคที่ 7,สำนักงานไปรษณีย์เขต 4,ศูนย์ความปลอดภัยในการทำงานเขต 4 (อุดรธานี),สำนักงานอุตสาหกรรมพื้นฐานและการเหมืองแร่ เขต 2 อุดรธานี
